codigo,nombre,cartilla,hex
7232W,Mineral Yellow,Millennium,#ffeeaa
7233M,Southern Sun,Millennium,#ffec97
7234D,Yellow Tulip,Millennium,#ffe170
7235A,Ornate Yellow,Millennium,#ffd752
7236N,Imperial Yellow,Millennium,#ffce32
7240W,Chaste White,Millennium,#fcf6dc
7241W,Sun Shimmer,Millennium,#fff3bb
7242W,Yellow Begonia,Millennium,#fff1ab
7243M,Forsythia,Millennium,#ffea8e
7244D,Golden Ray,Millennium,#ffde62
7245A,Glimmer Gold,Millennium,#ffd749
7246N,Golden Dome,Millennium,#ffd029
7250W,Serenity,Millennium,#fbf6e1
7251W,Lemon Meringue,Millennium,#fff1bf
7252W,Sundew,Millennium,#fff0af
7253M,Golden Corn,Millennium,#ffe78f
7254D,Black-eyed Susan,Millennium,#ffda5d
7255A,High Sun,Millennium,#ffd340
7256N,Coronation Gold,Millennium,#ffc200
7260W,Amber White,Millennium,#fdf2d6
7261W,Sunny Beach,Millennium,#fff2cb
7262W,Warm Rays,Millennium,#ffecaa
7263M,Sunspot,Millennium,#ffe38b
7264D,Sardonyx,Millennium,#ffd559
7265A,Golden Glisten,Millennium,#ffcf41
7266N,Garden Marigold,Millennium,#ffba00
7270W,Filtered Light,Millennium,#fff5dc
7271W,Morning Moon,Millennium,#ffefc8
7272W,Honey Pear,Millennium,#ffe9a6
7273M,Amber Light,Millennium,#ffdf83
7274D,Scotch Yellow,Millennium,#ffd054
7275A,Imperial Palace,Millennium,#ffc93b
7276N,Palace Gold,Millennium,#ffb800
7280W,Golden Blonde,Millennium,#ffeed6
7281W,Palest Sunset,Millennium,#ffeecb
7282W,Candleglow,Millennium,#ffe2a5
7283M,Matisse Gold,Millennium,#ffd788
7284D,Fireside,Millennium,#ffc971
7285A,Marsh Marigold,Millennium,#ffba48
7286N,Brilliant Orange,Millennium,#ffaa1c
7290W,Natural Wax,Millennium,#ffebcc
7291W,Runnymede,Millennium,#ffe5ba
7292W,Freestone,Millennium,#ffe2ac
7293M,Summer Melon,Millennium,#ffcf8c
7294D,Pom Pom Orange,Millennium,#ffc578
7295D,Malaga,Millennium,#ffb863
7296N,Barcelona,Millennium,#ef9a41
7300W,Pale Chamois,Millennium,#ffeed6
7301W,Brushed Peach,Millennium,#ffe5c0
7302W,Carmelite,Millennium,#ffd8aa
7303M,Aztec Dawn,Millennium,#fbc68e
7304D,Rice Curry,Millennium,#f8ba78
7305D,Sundance,Millennium,#f2ab67
7306N,Cinnamon Cider,Millennium,#e5944e
7310W,Camisole Silk,Millennium,#ffeed6
7311W,Peach Mallow,Millennium,#ffe2be
7312W,Filtered Moon,Millennium,#ffdbb6
7313M,New Penny,Millennium,#fdc28f
7314D,Octoberfest,Millennium,#f8b97f
7315D,Rustica,Millennium,#f3aa6d
7316N,Iron Orange,Millennium,#e18d4f
7320W,Flemish Lace,Millennium,#feeedb
7321W,Apricot Lily,Millennium,#ffe4c3
7322W,Petite Peach,Millennium,#ffd7a8
7323M,Peruvian Orange,Millennium,#ffc68d
7324D,Indian Turnip,Millennium,#ffb978
7325D,Diced Carrot,Millennium,#ffa865
7326A,Glazed Carrot,Millennium,#fd9652
7330W,Silky White,Millennium,#ffedd9
7331W,Peach Veil,Millennium,#ffe3c5
7332W,Peach Satin,Millennium,#ffd6b1
7333M,Endless Peach,Millennium,#ffc293
7334D,Orangeade,Millennium,#ffb47e
7335D,Golden Poppy,Millennium,#ffa36c
7336A,Tahitian Sun,Millennium,#f98e58
7340W,Ocean Shell,Millennium,#feede2
7341W,Coral Almond,Millennium,#ffe3cc
7342W,Apricot Nectar,Millennium,#ffcfb0
7343M,Salted Shrimp,Millennium,#ffba96
7344D,Shrimp Peel,Millennium,#ffae83
7345D,Fired Shrimp,Millennium,#fd9c71
7346A,Mikado,Millennium,#f5885c
7350W,Orange Charm,Millennium,#fdede3
7351W,Always Apricot,Millennium,#ffe6d4
7352W,Cayman Peach,Millennium,#ffd9c0
7353M,Peach Darling,Millennium,#ffc0a0
7354D,Orange Buff,Millennium,#ffa67d
7355A,Fiesta Fire,Millennium,#fb9064
7356N,Autumn Blaze,Millennium,#f57e58
7360W,Coral Sand,Millennium,#fcede5
7361W,Apricot Glove,Millennium,#ffdfcf
7362W,Malta Pink,Millennium,#ffd9c7
7363M,Peach Parfait,Millennium,#ffb79e
7364D,Coral Azalea,Millennium,#fc9f84
7365A,New Orange,Millennium,#f48767
7366N,Orange Flambe,Millennium,#e3694e
7370W,Angel Peach,Millennium,#fde9e2
7371W,Peach Opal,Millennium,#ffe2d7
7372W,Coral Haze,Millennium,#ffd4c9
7373M,Corallina,Millennium,#ffb5a5
7374D,Phoenix Sun,Millennium,#fa9883
7375A,Tangerine,Millennium,#d68936
7376N,Fired Orange,Millennium,#d95d4c
7380W,Creamy Pink,Millennium,#fcede9
7381W,Crushed Shell,Millennium,#ffded8
7382W,Granite Rose,Millennium,#ffd3cd
7383M,Coral Fantasy,Millennium,#feb1a9
7384D,Coral Gate,Millennium,#f39284
7385A,Coral Flower,Millennium,#ea7e70
7386N,Red Flare,Millennium,#cf5f56
7390W,April Blush,Millennium,#fcede9
7391W,Peaking Pink,Millennium,#ffe1df
7392W,Peach Bloom,Millennium,#ffd7d5
7393M,Camellia Pink,Millennium,#feb1ae
7394D,Peach Pink,Millennium,#f58f8b
7395A,Lobster Tail,Millennium,#ed7b75
7396N,Fire Princess,Millennium,#d3514e
7400W,Ceramic Pink,Millennium,#fde8e4
7401W,Melon Ice,Millennium,#fddfdd
7402W,Pink Crest,Millennium,#ffd3d4
7403M,Exquisite,Millennium,#ffafb6
7404D,Melon Shine,Millennium,#f68a92
7405A,Fire Pink,Millennium,#ee757a
7406N,Real Red,Millennium,#d74f57
7410W,Ballet,Millennium,#fbeff0
7411W,Pink Ribbon,Millennium,#ffdce4
7412W,Timeless Pink,Millennium,#ffd1dc
7413M,Priscilla Pink,Millennium,#fdabbf
7414D,Carnation Kiss,Millennium,#f7869d
7415A,Valentine,Millennium,#ec6b81
7416N,Chinese Pagoda,Millennium,#e15160
7420W,Pink Pomander,Millennium,#fce5eb
7421W,Romantic Lace,Millennium,#fedde6
7422W,Porcelain Pink,Millennium,#fed1de
7423M,Peony Petal,Millennium,#fcabc0
7424D,Strawberry Swirl,Millennium,#f2839f
7425A,Precious Rose,Millennium,#eb6e89
7426N,Zinnia Scarlet,Millennium,#d44b5e
7430W,Pink Icing,Millennium,#fbecf0
7431W,Ashley Pink,Millennium,#fcd9e5
7432W,Pink Crown,Millennium,#fccfdf
7433M,Rose Freeze,Millennium,#f3a6c4
7434D,Fashion Pink,Millennium,#e67ea2
7435A,Veronica,Millennium,#dc6a8e
7436N,Brilliant Pink,Millennium,#7c2335
7440W,Lillium,Millennium,#f9e5ec
7441W,Pink Tiara,Millennium,#f7d7e6
7442W,Angel Wing,Millennium,#f6cce1
7443M,Cerise Pink,Millennium,#eea5c6
7444D,Fuschia Flock,Millennium,#dd7aa5
7445A,Fuschia Kiss,Millennium,#d26691
7446N,Sizzling Pink,Millennium,#c35279
7450W,Trailing Pink,Millennium,#f8ecf1
7451W,Early Pink,Millennium,#f7d7e9
7452W,Pink Overlay,Millennium,#f4cae3
7453M,Cut Lavender,Millennium,#ebb3d4
7454D,Souvenir Rose,Millennium,#db81b3
7455A,Rose Luster,Millennium,#ca669a
7456N,Majestic Magenta,Millennium,#b94f7f
7460W,Rose Morn,Millennium,#f2e8eb
7461W,Island Dawn,Millennium,#eeddeb
7462W,Fresh Bud,Millennium,#e7cae3
7463M,Laurel Blossom,Millennium,#d3a3cb
7464D,Violet Cluster,Millennium,#c88ebb
7465D,Imperial Purple,Millennium,#b87bab
7466N,Royal Robe,Millennium,#9e5d89
7470W,Iced Orchid,Millennium,#ede1ee
7471W,Lavender Posy,Millennium,#e8d7ea
7472W,Orchid Scent,Millennium,#e0c9e2
7473M,Lavender Mist,Millennium,#c8a4ce
7474D,Salina Grape,Millennium,#bb90be
7475D,Wild Orchid,Millennium,#aa7eb0
7476N,Purplestone,Millennium,#895f8d
7960W,Embracing Lilac,Millennium,#e1e1e9
7961W,Spring Parasol,Millennium,#d3d2dc
7962W,Venice Lavender,Millennium,#c9c7d5
7963M,Slow Dancer,Millennium,#b7b4c5
7964M,Rhinestone,Millennium,#a09cb7
7965D,Prestige Purple,Millennium,#807f9c
7966A,Valhalla,Millennium,#686780
7970W,Sheer Lilac,Millennium,#e7e6f0
7971W,Canterbury Bell,Millennium,#d8d6e4
7972W,Crushed Heather,Millennium,#d0cbdf
7973M,Pretty Purple,Millennium,#b8b8d4
7974M,Purple Rain,Millennium,#a0a1c4
7975D,Stargazing Night,Millennium,#8080a9
7976N,Planetary Plume,Millennium,#616186
7980W,Iced Blue,Millennium,#dde2ed
7981W,Glacier Wall,Millennium,#d1d8e8
7982W,Blue Sash,Millennium,#c1cadf
7983M,Bracing Blue,Millennium,#b3bfdb
7984M,Tapestry Blue,Millennium,#98a9cb
7985D,Blue Border,Millennium,#7688b0
7986N,Indigo Night,Millennium,#556183
7990W,Pearl Violet,Millennium,#dfe6ee
7991W,Basin Blue,Millennium,#cdd6e5
7992W,Studio Blue,Millennium,#bfcce2
7993M,Perfect Blue,Millennium,#abbbd8
7994M,Ceremonial Blue,Millennium,#96abce
7995D,Valor Blue,Millennium,#718ab0
7996N,Twilight Zone,Millennium,#4c6082
8000W,Airland Blue,Millennium,#dbe3ed
8001W,Nimbus Blue,Millennium,#d1dce9
8002W,Floss Flower,Millennium,#bfcfe4
8003M,Blue Wainscot,Millennium,#a8beda
8004M,Blue Room,Millennium,#8babcf
8005D,Wilshire Blue,Millennium,#678bb3
8006N,Academy Blue,Millennium,#496a90
8010W,Blue Edge,Millennium,#d3e2ec
8011W,Corn Flower,Millennium,#c5d8e7
8012W,Jeffrey Blue,Millennium,#b6cee2
8013W,Blue Hat,Millennium,#98bbd8
8014M,Blue Surf,Millennium,#80a8c7
8015D,Water Works,Millennium,#5c8aad
8016N,Deep Waters,Millennium,#456a88
8020W,Tender Blue,Millennium,#dee9ef
8021W,Blue Waltz,Millennium,#d5e5ef
8022W,Cool Starlight,Millennium,#b8d5e5
8023M,Clear Sky,Millennium,#99c2d9
8024M,Capri Grotto,Millennium,#75aac9
8025D,Florentine Blue,Millennium,#4c8aab
8026N,Italian Tile,Millennium,#3b6c8a
8030W,Song Blue,Millennium,#d6e9ec
8031W,Bugle Blue,Millennium,#c4dfe9
8032W,High Flyer,Millennium,#b1d3e2
8033M,Sky Dive,Millennium,#96c3d8
8034M,Pacific Ocean,Millennium,#7bb5cf
8035D,Seaquest,Millennium,#3f91b0
8036N,Undersea Blue,Millennium,#2d6b84
8040W,Ice Cavern,Millennium,#d8ebee
8041W,Polar Blue,Millennium,#c7e1e9
8042W,Sweeping Blue,Millennium,#abd4e0
8043M,Beaux Blue,Millennium,#9ac3cf
8044M,Dutch Aqua,Millennium,#80b2c2
8045D,Ocean Depths,Millennium,#5891a3
8046N,Mutiny,Millennium,#3f6b79
8050W,Zenith Blue,Millennium,#dbebeb
8051W,Seadrifter,Millennium,#cfe7e9
8052W,West Keys,Millennium,#b2d7dd
8053M,Sea View,Millennium,#9bc8cd
8054M,Ocean Grove,Millennium,#83b7bf
8055D,Poseidon,Millennium,#52939d
8056N,Lost Atlantis,Millennium,#486e76
8060W,Retreat,Millennium,#d6eceb
8061W,Noonday Tide,Millennium,#cee5e5
8062W,Sea Silence,Millennium,#b5d7d9
8063M,Wayward Wind,Millennium,#9bc4c7
8064M,Cape Barran,Millennium,#83b4b7
8065D,Aqualogic,Millennium,#599094
8066A,Abyss,Millennium,#4d7376
8070W,Bermuda Shoal,Millennium,#dbefec
8071W,Cool Aqua,Millennium,#cbe6e3
8072W,Scuba,Millennium,#b4dada
8073M,Seabeck,Millennium,#98cbca
8074M,Sea Meadow,Millennium,#80bcbb
8075D,Aqua Sea,Millennium,#569695
8076A,Deep Teal,Millennium,#457d7b
8080W,Dissolving Blue,Millennium,#e4efeb
8081W,Blue Bauble,Millennium,#cfe1dd
8082W,Alaskan Jade,Millennium,#bfd9d3
8083M,Blue Ridge,Millennium,#a7cac2
8084M,Kentucky Grass,Millennium,#91bab3
8085D,India Green,Millennium,#6e978f
8086A,Green Wharf,Millennium,#5d7e77
8090W,Winter Whisper,Millennium,#e6f1e6
8091W,Drifting Green,Millennium,#d0e1db
8092W,Cool Comfort,Millennium,#c2d8d1
8093W,Teal Suede,Millennium,#b4cdc5
8094M,Himalaya,Millennium,#9ebab0
8095D,Cool Forest,Millennium,#809d91
8096N,Bering Green,Millennium,#637d72
8100W,Micro Mint,Millennium,#e2ede9
8101W,Green Sprinkle,Millennium,#d1e5de
8102W,Green Sweeps,Millennium,#c2d8d1
8103W,Sweet Grass,Millennium,#b2cdc5
8104M,Green Plaza,Millennium,#99bbb0
8105D,Acanthus Leaf,Millennium,#7c9e91
8106N,Caulfield Green,Millennium,#5a766b
8110W,Gentle Rain,Millennium,#e1eae2
8111W,Shy Green,Millennium,#cfe6db
8112W,Green Mist,Millennium,#bfddd1
8113M,Fragrant Spruce,Millennium,#a5cbb9
8114M,Vineleaf,Millennium,#8fbca7
8115D,Ivy Wreath,Millennium,#75a189
8116N,Casino Green,Millennium,#5b7963
8120W,Frosted Pine,Millennium,#e5f0e5
8121W,Garden Herb,Millennium,#d0e3d3
8122W,Light Jade,Millennium,#c7dfca
8123W,Chapparel Pea,Millennium,#b3cfb6
8124M,Green Terrace,Millennium,#9ec0a2
8125D,Water Hawthorne,Millennium,#7fa281
8126N,Racing Green,Millennium,#5f795d
8130W,Morning Dew,Millennium,#e5eadb
8131W,Night Hush,Millennium,#dae1ce
8132W,Lunar Green,Millennium,#cbd6c0
8133W,Green Knoll,Millennium,#becdb4
8134M,Glenhaven,Millennium,#aaba9c
8135D,Hollyhock,Millennium,#8f9f7e
8136N,Shaded Moss,Millennium,#6c7a5b
8140W,Misted Pollen,Millennium,#ecefde
8141W,Aviary,Millennium,#dae1ca
8142W,Bermuda Grass,Millennium,#d0d8bd
8143M,Grazing Field,Millennium,#cad1b1
8144M,Revere Green,Millennium,#bbc29f
8145D,Green Acre,Millennium,#9da67c
8146N,Green Gables,Millennium,#777e56
8150W,Scrimshaw,Millennium,#eae9da
8151W,Cut Hay,Millennium,#e4e2cc
8152W,Rock Cress,Millennium,#dcdbc0
8153M,Hiking Path,Millennium,#cdccae
8154M,Marshland,Millennium,#c2c19c
8155D,Ozark Green,Millennium,#a3a176
8156N,Florida Palm,Millennium,#7e7c56
8160W,White Leek,Millennium,#e6e3d3
8161W,Sulphur Springs,Millennium,#e0ddc7
8162W,Omar,Millennium,#d7d5bd
8163W,Olive Branch,Millennium,#cec9ac
8164M,Gumleaf,Millennium,#bcb596
8165D,Antique Pine,Millennium,#a49d79
8166N,Hawthorne Valley,Millennium,#7b765a
8170W,Owl Wing,Millennium,#ece8dd
8171W,Olive Fog,Millennium,#ddd7c5
8172W,Shire Fields,Millennium,#d6cfbc
8173M,Herbivore,Millennium,#cac3ac
8174M,Fenland,Millennium,#bcb49c
8175D,Wild Grasses,Millennium,#9a9277
8176N,Pinon Green,Millennium,#746e58
8180W,Almond White,Millennium,#ece5d8
8181W,Maison Blanche,Millennium,#dfd6c5
8182W,Candlebark,Millennium,#d9ceba
8183M,Saltbush,Millennium,#cfc4ad
8184M,Moselle,Millennium,#c3b79a
8185D,Ardmore Green,Millennium,#a49778
8186N,Scrubgum Green,Millennium,#7e7157
8190W,Impressive Ivory,Millennium,#f2eadb
8191W,Madonna Lily,Millennium,#e6dbc3
8192W,Graceful Gold,Millennium,#dfd1b3
8193M,Winter Garden,Millennium,#dbccac
8194M,Capertree,Millennium,#cebd98
8195D,Eddystone,Millennium,#af9d74
8196N,Wood Sorrel,Millennium,#8f7e5a
8200W,Bleached Sand,Millennium,#efe5d2
8201W,Burma Buff,Millennium,#e9ddc7
8202W,Coast Pointe,Millennium,#e3d3b5
8203M,Gobi Beige,Millennium,#dfcdae
8204M,Spice Bounty,Millennium,#d1bc97
8205D,Brass Bucket,Millennium,#bca377
8206N,Tarrytown,Millennium,#9f8961
8210W,Whispering Birch,Millennium,#f8f2e5
8211W,Sandy Lane,Millennium,#eee2cc
8212W,Millet,Millennium,#e9d7bb
8213M,Plantation Beige,Millennium,#e4d0af
8214M,Tobacco Road,Millennium,#d9c198
8215D,Tattersall Brown,Millennium,#c3aa83
8216N,Dried Tobacco,Millennium,#a1845b
8220W,Hayseed,Millennium,#f0e7da
8221W,Botany Beige,Millennium,#e6dbca
8222W,Desert Fawn,Millennium,#e3d5c2
8223M,Sienna Sand,Millennium,#dcc7ad
8224M,Balsam Bark,Millennium,#cbb595
